,Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
282,4_076_1.mp4,1,24,8,24,21,a person riding a bicycle,a person riding a bicycle,77,13.966666666666669,60.689855337142944
283,3_106_1.mp4,1,47,3,4,29,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,69.11334776878357
284,1_067_1.mp4,1,19,3,5,26,a person riding a bicycle,a person riding a bicycle,53,9.976633333333334,44.22109317779541
285,1_066_1.mp4,1,24,8,1,50,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,69.15678477287292
286,2_096_1.mp4,1,37,2,2,43,a person riding a bicycle,a person riding a bicycle,84,15.0,69.84919166564941
287,4_077_1.mp4,1,24,3,19,13,a person riding a bicycle,a person riding a bicycle,59,10.966666666666669,46.40718007087708
288,3_105_1.mp4,1,49,3,4,58,a person riding a bicycle,a person riding a bicycle,114,20.053366666666665,94.85851502418518
289,2_067_1.mp4,1,9,3,20,112,a certain number of persons fighting,a certain number of persons fighting,144,25.0,122.98158955574036
290,4_082_1.mp4,1,98,25,56,0,a certain number of persons fighting,a certain number of persons fighting,179,30.966666666666665,147.10204124450684
291,3_079_1.mp4,1,1,0,107,155,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,224.31366086006165
292,2_065_1.mp4,1,71,69,60,64,a certain number of persons fighting,a certain number of persons fighting,264,45.0,228.3669412136078
293,1_081_1.mp4,1,15,38,13,5,a certain number of persons fighting,a certain number of persons fighting,71,12.979633333333334,61.20527720451355
294,3_089_1.mp4,1,0,0,116,57,a certain number of persons fighting,a certain number of persons fighting,173,29.99663333333333,150.82857942581177
295,1_088_1.mp4,1,13,14,150,86,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,223.3342452049256
296,2_068_1.mp4,1,67,76,44,17,a certain number of persons fighting,a certain number of persons fighting,204,35.0,174.77894139289856
297,1_071_1.mp4,1,22,0,43,48,a certain number of persons fighting,a certain number of persons fighting,113,19.986633333333334,96.78367877006532
298,4_079_1.mp4,1,61,61,62,19,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,159.21903014183044
299,3_076_1.mp4,1,69,0,106,117,a certain number of persons fighting,a certain number of persons fighting,292,49.78306666666667,241.67751955986023
300,2_081_1.mp4,1,56,5,29,6,a certain number of persons fighting,a certain number of persons fighting,96,17.0,79.76215696334839
301,1_072_1.mp4,1,16,0,107,20,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,118.90300154685974
302,2_077_1.mp4,1,19,36,9,2,a certain number of persons fighting,a certain number of persons fighting,66,12.0,54.95248866081238
303,4_096_1.mp4,1,30,7,50,44,a certain number of persons fighting,a certain number of persons fighting,131,22.966666666666665,102.85223174095154
304,2_076_1.mp4,1,16,43,48,37,a certain number of persons fighting,a certain number of persons fighting,144,25.0,119.42697143554688
305,4_103_1.mp4,1,35,9,34,23,a certain number of persons fighting,a certain number of persons fighting,101,17.966666666666665,79.4925811290741
306,1_083_1.mp4,1,5,0,37,41,a certain number of persons fighting,a certain number of persons fighting,83,14.981633333333331,69.213796377182
307,4_105_1.mp4,1,94,88,9,12,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,158.948650598526
308,2_086_1.mp4,1,82,8,98,106,a certain number of persons fighting,a certain number of persons fighting,294,50.0,243.5707859992981
309,3_078_1.mp4,1,6,0,45,242,a certain number of persons fighting,a certain number of persons fighting,293,50.01663333333333,243.042715549469
310,4_081_1.mp4,1,10,0,43,60,a certain number of persons fighting,a certain number of persons fighting,113,19.966666666666665,88.60344886779785
311,3_095_1.mp4,1,8,10,61,64,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,118.79571747779846
312,1_069_1.mp4,1,61,1,114,57,a certain number of persons fighting,a certain number of persons fighting,233,40.00663333333333,193.5846190452576
313,2_084_1.mp4,1,1,7,64,42,a certain number of persons fighting,a certain number of persons fighting,114,20.0,94.61193084716795
314,1_086_1.mp4,1,2,0,64,77,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,118.8640592098236
315,2_079_1.mp4,1,28,12,44,30,a certain number of persons fighting,a certain number of persons fighting,114,20.0,94.75864934921265
316,4_093_1.mp4,1,19,3,95,26,a certain number of persons fighting,a certain number of persons fighting,143,24.966666666666665,112.27783155441284
317,1_094_1.mp4,1,240,143,0,0,a group of persons playing,a group of persons playing,383,65.03163333333333,317.1503508090973
318,3_101_1.mp4,1,589,248,1,25,a group of persons playing,a group of persons playing,863,145.07826666666668,717.0565891265869
319,4_111_1.mp4,1,227,128,26,2,a group of persons playing,a group of persons playing,383,64.96666666666667,300.19856882095337
320,3_102_1.mp4,1,262,207,0,4,a group of persons playing,a group of persons playing,473,80.04663333333333,392.4742052555084
321,2_090_1.mp4,1,526,548,0,0,a group of persons playing,a group of persons playing,1074,180.0,887.1701076030731
322,1_093_1.mp4,1,530,363,0,0,a group of persons playing,a group of persons playing,893,150.11663333333334,737.0451679229736
323,2_093_1.mp4,1,260,124,0,0,a group of persons playing,a group of persons playing,384,65.0,324.5991065502167
324,4_109_1.mp4,1,374,92,75,154,a group of persons playing,a group of persons playing,695,116.96666666666668,556.2702572345734
325,4_110_1.mp4,1,19,5,16,73,a person running,a person running,113,19.966666666666665,92.07231402397156
326,3_090_1.mp4,1,0,4,29,80,a person running,a person running,113,19.986633333333334,99.54388093948364
327,3_093_1.mp4,1,50,36,17,100,a person running,a person running,203,35.00163333333333,173.14278030395508
328,4_092_1.mp4,1,16,0,18,19,a person running,a person running,53,9.966666666666669,43.08720850944519
329,2_066_1.mp4,1,45,0,36,33,a person running,a person running,114,20.0,97.9611804485321
330,4_101_1.mp4,1,41,41,35,20,a person running,a person running,137,23.966666666666665,111.990567445755
331,2_094_1.mp4,1,29,139,6,540,a person running,a person running,714,120.0,616.2660436630249
332,1_068_1.mp4,1,26,30,5,22,a person running,a person running,83,14.981633333333331,70.84533977508545
333,3_104_1.mp4,1,34,6,34,69,a person running,a person running,143,24.991633333333333,120.0976014137268
334,3_094_1.mp4,1,33,41,6,63,a person running,a person running,143,24.991633333333333,119.93593740463255
335,1_077_1.mp4,1,22,53,2,18,a person running,a person running,95,16.983633333333334,82.0053129196167
336,4_087_1.mp4,1,19,4,34,32,a person running,a person running,89,15.966666666666669,70.74109053611755
337,2_075_1.mp4,1,0,0,32,52,a person running,a person running,84,15.0,71.4347493648529
338,4_090_1.mp4,1,11,1,12,29,a person running,a person running,53,9.966666666666669,43.41803526878357
339,2_085_1.mp4,1,18,13,0,23,a person running,a person running,54,10.0,46.632036447525024
340,3_085_1.mp4,1,23,42,2,46,a person running,a person running,113,19.986633333333334,98.60365080833436
341,4_088_1.mp4,1,25,37,5,10,a person running,a person running,77,13.966666666666669,61.342705726623535
342,1_096_1.mp4,1,13,14,6,20,a person running,a person running,53,9.976633333333334,46.1536009311676
343,4_080_1.mp4,1,42,18,32,33,a person running,a person running,125,21.966666666666665,101.69241833686829
344,1_070_1.mp4,1,36,11,4,32,a person running,a person running,83,14.981633333333331,69.94193840026855
345,4_078_1.mp4,1,23,9,4,17,a person running,a person running,53,9.966666666666669,42.166020154953
346,4_104_1.mp4,1,12,6,4,7,a person running,a person running,29,5.966666666666667,23.06686806678772
347,2_073_1.mp4,1,26,98,2,138,a person running,a person running,264,45.0,221.2524766921997
348,4_112_1.mp4,1,24,0,3,38,a person running,a person running,65,11.966666666666669,52.69433975219727
349,2_095_1.mp4,1,43,1,4,36,a person running,a person running,84,15.0,70.98704361915588
350,3_077_1.mp4,1,64,39,7,63,a person running,a person running,173,29.99663333333333,148.81676816940308
351,2_064_1.mp4,1,33,20,5,26,a person running,a person running,84,15.0,72.24814438819885
352,1_079_1.mp4,1,14,0,21,48,a person running,a person running,83,14.981633333333331,69.85558462142944
353,4_102_1.mp4,1,17,9,5,22,a person running,a person running,53,9.966666666666669,42.6300733089447
354,3_103_1.mp4,1,20,0,4,59,a person running,a person running,83,14.981633333333331,71.73510217666626
355,3_097_1.mp4,1,18,37,27,61,a person running,a person running,143,24.991633333333333,123.14234972000122
356,1_095_1.mp4,1,17,8,11,41,a person running,a person running,77,13.980633333333332,64.60836005210876
357,3_087_1.mp4,1,19,4,18,72,a person running,a person running,113,19.986633333333334,95.11894845962524
358,4_113_1.mp4,1,11,15,44,25,a person running,a person running,95,16.966666666666665,77.56698417663574
359,3_075_1.mp4,1,23,36,14,102,a person running,a person running,175,30.2302,154.9456503391266
360,4_100_1.mp4,1,7,4,18,18,a person running,a person running,47,8.966666666666667,38.446847438812256
361,4_089_1.mp4,1,149,177,0,117,a person lying in the floor,a person lying in the floor,443,74.96666666666667,358.8259747028351
362,2_080_1.mp4,1,103,16,109,126,a person lying in the floor,a person lying in the floor,354,60.0,298.66366243362427
363,3_092_1.mp4,1,110,0,82,221,a person lying in the floor,a person lying in the floor,413,70.03663333333334,354.8938801288605
364,1_091_1.mp4,1,175,8,42,38,a person lying in the floor,a person lying in the floor,263,45.011633333333336,227.1233706474304
365,3_099_1.mp4,1,61,0,199,63,a person lying in the floor,a person lying in the floor,323,55.02163333333333,278.1410768032074
366,1_078_1.mp4,1,124,41,6,62,a person lying in the floor,a person lying in the floor,233,40.00663333333333,203.204745054245
367,4_094_1.mp4,1,233,36,39,9,a person lying in the floor,a person lying in the floor,317,53.96666666666667,261.2488377094269
368,3_086_1.mp4,1,91,18,49,375,a person lying in the floor,a person lying in the floor,533,90.05663333333334,469.6152377128601
369,1_084_1.mp4,1,161,28,7,37,a person lying in the floor,a person lying in the floor,233,40.00663333333333,205.75003123283383
370,2_069_1.mp4,1,78,52,0,14,a person chasing other person,a person chasing other person,144,25.0,126.49254965782166
371,1_082_1.mp4,1,31,44,0,8,a person chasing other person,a person chasing other person,83,14.981633333333331,72.71678376197815
372,3_093_1.mp4,1,67,128,0,8,a person chasing other person,a person chasing other person,203,35.00163333333333,177.06107926368713
373,2_071_1.mp4,1,72,99,0,3,a person chasing other person,a person chasing other person,174,30.0,150.0419819355011
374,3_080_1.mp4,1,48,125,0,0,a person chasing other person,a person chasing other person,173,29.99663333333333,146.78413128852844
375,4_101_1.mp4,1,20,26,56,35,a person chasing other person,a person chasing other person,137,23.966666666666665,111.9923059940338
376,4_108_1.mp4,1,31,6,3,25,a person chasing other person,a person chasing other person,65,11.966666666666669,52.99491238594055
377,4_107_1.mp4,1,26,65,19,33,a person chasing other person,a person chasing other person,143,24.966666666666665,118.02699398994446
378,4_114_1.mp4,1,55,10,0,0,a person chasing other person,a person chasing other person,65,11.933333333333334,54.20237159729004
379,3_096_1.mp4,1,33,46,4,0,a person chasing other person,a person chasing other person,83,14.981633333333331,72.15743017196655
380,1_073_1.mp4,1,30,18,0,35,a person chasing other person,a person chasing other person,83,14.981633333333331,72.15543007850647
381,3_091_1.mp4,1,34,44,0,35,a person chasing other person,a person chasing other person,113,19.986633333333334,98.6331386566162
382,4_083_1.mp4,1,65,33,11,4,a person chasing other person,a person chasing other person,113,19.966666666666665,91.11990141868591
383,2_078_1.mp4,1,30,54,0,0,a person chasing other person,a person chasing other person,84,15.0,73.0299928188324
384,2_077_1.mp4,1,28,38,0,0,a person chasing other person,a person chasing other person,66,12.0,57.533973693847656
385,1_087_1.mp4,1,27,43,1,24,a person chasing other person,a person chasing other person,95,16.983633333333334,80.54741477966309
386,2_088_1.mp4,1,50,76,0,0,a person chasing other person,a person chasing other person,126,22.0,107.82212233543396
387,1_085_1.mp4,1,271,158,86,138,a person chasing other person,a person chasing other person,653,110.07663333333332,559.2032284736633
388,2_083_1.mp4,1,237,321,0,6,a person chasing other person,a person chasing other person,564,95.0,482.9033765792847
